train_loss,test_coefs,test_loss
5.930531588467685,0.6622470527692201,5.398043892600319
5.2162409695712,0.6685114290781069,5.486353093927557
4.991417277943004,0.7016695835591606,4.910137176513672
4.6065673828125,0.6851613713392891,5.186803644353693
4.397743225097656,0.7014108557341268,5.16454384543679
4.083691336891868,0.7283975796890518,4.654750130393288
3.907533125443892,0.7273919311416088,4.856972087513316
3.658132032914595,0.7121779811825405,6.452452919699929
3.453006397594105,0.7319912232374707,4.5380495244806465
3.205865339799361,0.7329817848798463,4.949315851384943
2.976262179287997,0.7267944102442668,4.78900770707564
2.7924586209383877,0.6745990250061097,7.841721274636009
2.6265040310946377,0.7211671007745067,4.733214638449929
2.427858005870472,0.7209279464671999,5.577558690851385
2.237788287076083,0.7056714913527253,5.779641584916548
2.0511543967507104,0.7259667341950147,5.634727478027344
1.8087837912819602,0.69391270143732,5.1823577880859375
1.664965196089311,0.7069592746502827,5.270243904807351
1.5125465393066406,0.7098168684483148,5.358402252197266
1.369955756447532,0.7104261567917477,5.478140397505327
